iter	RMSE
0	5.490075808
1	5.454950079
2	5.426408532
3	5.403208189
4	5.384355177
5	5.368969664
6	5.356502039
7	5.346280975
8	5.337864744
9	5.331127327
10	5.325615195
11	5.321048188
12	5.317355032
13	5.314386926
14	5.311914537
15	5.309846891
16	5.308152423
17	5.306800731
18	5.305646549
19	5.304736436
20	5.303967508
21	5.303318817
22	5.30277732
23	5.30233494
24	5.301968289
25	5.301639407
26	5.301335947
27	5.301051829
28	5.300816005
29	5.300634198
30	5.3004581
31	5.300303388
32	5.300145352
33	5.300036919
34	5.299928298
35	5.29980566
36	5.299717691
37	5.299646687
38	5.299559637
39	5.299464471
40	5.29938498
41	5.2992603
42	5.29919427
43	5.299134695
44	5.299045977
45	5.298949879
46	5.298904504
47	5.298824267
48	5.298749931
49	5.298672827
50	5.298584101
51	5.298480616
52	5.298421033
53	5.298328613
54	5.298262572
55	5.298145429
56	5.298082522
57	5.298011312
58	5.297952092
59	5.297900621
60	5.297835496
61	5.297763361
62	5.297706721
63	5.297645469
64	5.297564844
65	5.297470933
66	5.2974237
67	5.297364474
68	5.29729879
69	5.297239563
70	5.297193435
71	5.297124427
72	5.29706446
73	5.297011134
74	5.296933083
75	5.296869422
76	5.296824583
77	5.296773101
78	5.29671682
79	5.296678253
80	5.296651127
81	5.296597244
82	5.296535056
83	5.296490214
84	5.296439651
85	5.296385397
86	5.296338154
87	5.296279285
88	5.29618406
89	5.296125189
90	5.296068163
91	5.295990282
92	5.295933624
93	5.295870506
94	5.295810155
95	5.295762907
96	5.295729133
97	5.295685022
98	5.295635743
99	5.295592739
