iter	Passed	Remaining
0	20	2007
1	40	1977
2	60	1961
3	80	1927
4	100	1912
5	120	1884
6	139	1853
7	159	1834
8	179	1810
9	200	1801
10	220	1780
11	242	1778
12	262	1753
13	282	1736
14	302	1713
15	322	1694
16	344	1681
17	364	1662
18	385	1642
19	406	1625
20	425	1601
21	446	1583
22	466	1560
23	487	1542
24	506	1518
25	526	1498
26	546	1476
27	568	1460
28	589	1442
29	609	1421
30	631	1405
31	652	1387
32	672	1365
33	693	1345
34	714	1326
35	735	1307
36	758	1290
37	778	1270
38	801	1253
39	824	1236
40	843	1214
41	864	1194
42	888	1177
43	908	1156
44	927	1133
45	947	1112
46	970	1093
47	988	1070
48	1009	1050
49	1031	1031
50	1052	1011
51	1072	989
52	1094	970
53	1112	948
54	1131	926
55	1152	905
56	1171	883
57	1191	862
58	1213	843
59	1233	822
60	1253	801
61	1271	779
62	1290	758
63	1309	736
64	1331	716
65	1351	696
66	1372	676
67	1391	654
68	1411	634
69	1429	612
70	1450	592
71	1471	572
72	1489	551
73	1509	530
74	1529	509
75	1549	489
76	1572	469
77	1593	449
78	1615	429
79	1639	409
80	1658	388
81	1676	368
82	1700	348
83	1719	327
84	1738	306
85	1758	286
86	1777	265
87	1798	245
88	1819	224
89	1839	204
90	1858	183
91	1877	163
92	1898	142
93	1920	122
94	1940	102
95	1959	81
96	1981	61
97	2001	40
98	2023	20
99	2046	0
